horizon,model,oo_s,year,n,hit_rate,corr
24,LogReg,2024-01-01,2024,1440,0.5694444444444444,0.1125806753134671
24,GBoost,2024-01-01,2024,1440,0.5201388888888889,0.05077022001823118
24,RandForest,2024-01-01,2024,1440,0.5631944444444444,0.09952312478553839
48,LogReg,2024-01-01,2024,1440,0.5694444444444444,0.04888083643186647
48,GBoost,2024-01-01,2024,1440,0.5138888888888888,-0.051553444211069804
48,RandForest,2024-01-01,2024,1440,0.5555555555555556,-0.005876891952521148
72,LogReg,2024-01-01,2024,1440,0.5958333333333333,0.05335456143597925
72,GBoost,2024-01-01,2024,1440,0.5159722222222223,-0.08115968659483994
72,RandForest,2024-01-01,2024,1440,0.5333333333333333,-0.039660255613807
1,LogReg,2024-03-01,2024,1464,0.5443989071038251,0.09619971618050856
1,GBoost,2024-03-01,2024,1464,0.519808743169399,0.05531283999777081
1,RandForest,2024-03-01,2024,1464,0.5293715846994536,0.09740017863283877
2,LogReg,2024-03-01,2024,1464,0.5389344262295082,0.05051334824282835
2,GBoost,2024-03-01,2024,1464,0.5396174863387978,0.10450770336995367
2,RandForest,2024-03-01,2024,1464,0.5355191256830601,0.09180174362045217
4,LogReg,2024-03-01,2024,1464,0.5327868852459017,0.05302854611962086
4,GBoost,2024-03-01,2024,1464,0.5478142076502732,0.08362956976591951
4,RandForest,2024-03-01,2024,1464,0.5491803278688525,0.09735802078294224
8,LogReg,2024-03-01,2024,1464,0.5744535519125683,0.15863809326743675
8,GBoost,2024-03-01,2024,1464,0.5539617486338798,0.12398611864299919
8,RandForest,2024-03-01,2024,1464,0.5710382513661202,0.15447912349932352
16,LogReg,2024-03-01,2024,1464,0.5792349726775956,0.15106308856177522
16,GBoost,2024-03-01,2024,1464,0.5409836065573771,0.10713177755841478
16,RandForest,2024-03-01,2024,1464,0.5614754098360656,0.17542033958193534
24,LogReg,2024-03-01,2024,1464,0.5881147540983607,0.14607179359047343
24,GBoost,2024-03-01,2024,1464,0.532103825136612,0.06647633491968004
24,RandForest,2024-03-01,2024,1464,0.5648907103825137,0.1540956395406081
48,LogReg,2024-03-01,2024,1464,0.5314207650273224,0.09368790118543725
48,GBoost,2024-03-01,2024,1464,0.549863387978142,0.09376693875492834
48,RandForest,2024-03-01,2024,1464,0.5286885245901639,0.06423110728820935
72,LogReg,2024-03-01,2024,1464,0.5191256830601093,0.09195652475933373
72,GBoost,2024-03-01,2024,1464,0.4918032786885246,0.03485175885936792
72,RandForest,2024-03-01,2024,1464,0.5061475409836066,-0.030029001417800114
